Name,IFN,IL1b,IL6,IL10,TNF
  STMEM_171 Plasma (Pre) LPS  ,0.562,0.344,269.965,14.571,8.740
  STMEM_172 Plasma (Pre) LPS  ,0.531,0.611,169.911,19.788,10.799
  STMEM_169 Plasma (Pre) LPS  ,5.620,0.592,144.028,21.885,14.877
  STMEM_150 Plasma (Pre) LPS  ,2.032,2.156,580.716,12.739,18.947
  STMEM_148 Plasma (Pre) LPS  ,0.371,1.712,1396.725,19.380,10.903
  STMEM_132 Plasma (Pre) LPS  ,0.362,0.592,458.020,24.190,10.837
  STMEM_133 Plasma (Pre) LPS  ,0.342,0.641,371.757,19.066,15.821
  STMEM_93 Plasma (Pre) LPS  ,0.269,0.466,285.481,13.016,2.862
  STMEM_117 Plasma (Pre) LPS  ,0.323,0.876,484.237,11.996,8.439
  STMEM_118 Plasma (Pre) LPS  ,0.280,0.819,794.459,12.205,10.089
  STMEM_121 Plasma (Pre) LPS  ,0.667,0.645,640.686,19.305,10.447
  SGC_369 Plasma (Pre) LPS  ,0.470,0.630,471.531,14.875,15.729
  STMEM_106 Plasma (Pre) LPS  ,1.016,0.187,462.292,16.538,9.551
  STMEM_108 Plasma (Pre) LPS  ,0.683,0.386,932.655,17.845,13.114
  SGC_359 Plasma (Pre) LPS  ,0.507,0.932,514.337,22.501,15.260
  SGC_344 Plasma (Pre) LPS  ,0.464,0.827,547.244,21.350,21.088
  SAS9_269 Plasma (Pre) LPS  ,0.384,0.432,44.949,13.722,9.669
  STMEM_101 Plasma (Pre) LPS  ,0.188,3.494,1034.666,13.460,19.391
  STMEM_102 Plasma (Pre) LPS  ,0.270,0.291,373.674,17.489,11.213
  SGC_321 Plasma (Pre) LPS  ,0.279,0.940,378.828,11.481,13.031
  SGC_322 Plasma (Pre) LPS  ,0.830,0.233,502.020,9.509,12.426
  SAS9_246 Plasma (Pre) LPS  ,0.052,1.582,3362.152,16.586,8.923
  SAS9_247 Plasma (Pre) LPS  ,0.179,1.821,1377.944,13.113,10.066
  SAS9_249 Plasma (Pre) LPS  ,0.498,1.821,2497.351,18.705,13.070
  STMEM9_150 Plasma (Pre) LPS  ,0.347,2.100,775.331,15.542,10.006
  STMEM9_151 Plasma (Pre) LPS  ,2.777,2.375,891.365,24.763,13.129
  SGC_371 Plasma (Pre) LPS  ,0.529,0.241,408.446,21.994,20.855
  STMEM_171 Plasma (Post) LPS  ,0.191,12.384,244.325,111.199,29.275
  STMEM_172 Plasma (Post) LPS  ,1.346,9.311,879.257,423.228,59.154
  STMEM_169 Plasma (Post) LPS  ,0.494,25.038,2460.037,309.138,65.720
  STMEM_150 Plasma (Post) LPS  ,0.894,7.897,1818.785,630.332,97.276
  STMEM_148 Plasma (Post) LPS  ,0.747,6.039,962.678,420.234,75.014
  STMEM_132 Plasma (Post) LPS  ,0.742,15.200,804.090,309.470,62.519
  STMEM_133 Plasma (Post) LPS  ,0.426,20.120,2333.422,367.880,98.406
  STMEM_93 Plasma (Post) LPS  ,0.624,4.512,1052.953,341.566,33.920
  STMEM_117 Plasma (Post) LPS  ,0.432,3.343,1013.624,290.924,63.608
  STMEM_118 Plasma (Post) LPS  ,0.437,3.642,1064.695,455.756,43.360
  STMEM_121 Plasma (Post) LPS  ,0.650,4.247,1533.603,482.096,63.727
  SGC_369 Plasma (Post) LPS  ,0.535,7.502,2859.801,448.428,158.177
  STMEM_106 Plasma (Post) LPS  ,0.797,1.903,747.175,290.779,47.589
  STMEM_108 Plasma (Post) LPS  ,0.879,2.739,2119.215,424.180,88.851
  SGC_359 Plasma (Post) LPS  ,0.784,4.328,1790.070,512.771,86.432
  SGC_344 Plasma (Post) LPS  ,0.776,18.694,1338.201,268.395,72.022
  SAS9_269 Plasma (Post) LPS  ,0.481,9.500,619.779,187.461,45.176
  STMEM_101 Plasma (Post) LPS  ,0.453,4.957,1628.391,312.407,63.858
  STMEM_102 Plasma (Post) LPS  ,0.549,2.178,1421.370,443.993,55.917
  SGC_321 Plasma (Post) LPS  ,0.777,2.282,1179.812,371.412,67.673
